[Thu Aug 20 18:12:33.779779 2020] [core:warn] [pid 9] AH00045: child process 923 still did not exit, sending a SIGTERM
[Thu Aug 20 18:12:33.780426 2020] [core:warn] [pid 9] AH00045: child process 970 still did not exit, sending a SIGTERM
[Thu Aug 20 18:12:33.780467 2020] [core:warn] [pid 9] AH00045: child process 2973 still did not exit, sending a SIGTERM
[Thu Aug 20 18:12:33.780523 2020] [core:warn] [pid 9] AH00045: child process 2974 still did not exit, sending a SIGTERM
[Thu Aug 20 18:12:33.780553 2020] [core:warn] [pid 9] AH00045: child process 2977 still did not exit, sending a SIGTERM
[Thu Aug 20 18:12:35.781995 2020] [core:warn] [pid 9] AH00045: child process 2973 still did not exit, sending a SIGTERM
[Thu Aug 20 18:12:35.782095 2020] [core:warn] [pid 9] AH00045: child process 2974 still did not exit, sending a SIGTERM
[Thu Aug 20 18:12:35.782122 2020] [core:warn] [pid 9] AH00045: child process 2977 still did not exit, sending a SIGTERM
[Thu Aug 20 18:12:38.086724 2020] [mpm_prefork:notice] [pid 9] AH00169: caught SIGTERM, shutting down
[Thu Aug 20 18:21:13.694782 2020] [suexec:notice] [pid 9] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec)
[Thu Aug 20 18:21:13.712078 2020] [so:warn] [pid 9] AH01574: module access_compat_module is already loaded, skipping
[Thu Aug 20 18:21:13.712098 2020] [so:warn] [pid 9] AH01574: module actions_module is already loaded, skipping
[Thu Aug 20 18:21:13.712106 2020] [so:warn] [pid 9] AH01574: module alias_module is already loaded, skipping
[Thu Aug 20 18:21:13.712221 2020] [so:warn] [pid 9] AH01574: module auth_basic_module is already loaded, skipping
[Thu Aug 20 18:21:13.712232 2020] [so:warn] [pid 9] AH01574: module auth_digest_module is already loaded, skipping
[Thu Aug 20 18:21:13.712239 2020] [so:warn] [pid 9] AH01574: module authn_anon_module is already loaded, skipping
[Thu Aug 20 18:21:13.712263 2020] [so:warn] [pid 9] AH01574: module authn_core_module is already loaded, skipping
[Thu Aug 20 18:21:13.712379 2020] [so:warn] [pid 9] AH01574: module authn_dbm_module is already loaded, skipping
[Thu Aug 20 18:21:13.712389 2020] [so:warn] [pid 9] AH01574: module authn_file_module is already loaded, skipping
[Thu Aug 20 18:21:13.712540 2020] [so:warn] [pid 9] AH01574: module authz_core_module is already loaded, skipping
[Thu Aug 20 18:21:13.712666 2020] [so:warn] [pid 9] AH01574: module authz_dbm_module is already loaded, skipping
[Thu Aug 20 18:21:13.712678 2020] [so:warn] [pid 9] AH01574: module authz_groupfile_module is already loaded, skipping
[Thu Aug 20 18:21:13.712687 2020] [so:warn] [pid 9] AH01574: module authz_host_module is already loaded, skipping
[Thu Aug 20 18:21:13.712694 2020] [so:warn] [pid 9] AH01574: module authz_owner_module is already loaded, skipping
[Thu Aug 20 18:21:13.712702 2020] [so:warn] [pid 9] AH01574: module authz_user_module is already loaded, skipping
[Thu Aug 20 18:21:13.712710 2020] [so:warn] [pid 9] AH01574: module autoindex_module is already loaded, skipping
[Thu Aug 20 18:21:13.712717 2020] [so:warn] [pid 9] AH01574: module cache_module is already loaded, skipping
[Thu Aug 20 18:21:13.713065 2020] [so:warn] [pid 9] AH01574: module deflate_module is already loaded, skipping
[Thu Aug 20 18:21:13.713077 2020] [so:warn] [pid 9] AH01574: module dir_module is already loaded, skipping
[Thu Aug 20 18:21:13.713286 2020] [so:warn] [pid 9] AH01574: module env_module is already loaded, skipping
[Thu Aug 20 18:21:13.713297 2020] [so:warn] [pid 9] AH01574: module expires_module is already loaded, skipping
[Thu Aug 20 18:21:13.713306 2020] [so:warn] [pid 9] AH01574: module ext_filter_module is already loaded, skipping
[Thu Aug 20 18:21:13.713314 2020] [so:warn] [pid 9] AH01574: module filter_module is already loaded, skipping
[Thu Aug 20 18:21:13.713433 2020] [so:warn] [pid 9] AH01574: module include_module is already loaded, skipping
[Thu Aug 20 18:21:13.713588 2020] [so:warn] [pid 9] AH01574: module log_config_module is already loaded, skipping
[Thu Aug 20 18:21:13.713599 2020] [so:warn] [pid 9] AH01574: module logio_module is already loaded, skipping
[Thu Aug 20 18:21:13.713620 2020] [so:warn] [pid 9] AH01574: module mime_magic_module is already loaded, skipping
[Thu Aug 20 18:21:13.713628 2020] [so:warn] [pid 9] AH01574: module mime_module is already loaded, skipping
[Thu Aug 20 18:21:13.713636 2020] [so:warn] [pid 9] AH01574: module negotiation_module is already loaded, skipping
[Thu Aug 20 18:21:13.713862 2020] [so:warn] [pid 9] AH01574: module rewrite_module is already loaded, skipping
[Thu Aug 20 18:21:13.713874 2020] [so:warn] [pid 9] AH01574: module setenvif_module is already loaded, skipping
[Thu Aug 20 18:21:13.714301 2020] [so:warn] [pid 9] AH01574: module socache_shmcb_module is already loaded, skipping
[Thu Aug 20 18:21:13.714314 2020] [so:warn] [pid 9] AH01574: module status_module is already loaded, skipping
[Thu Aug 20 18:21:13.714323 2020] [so:warn] [pid 9] AH01574: module substitute_module is already loaded, skipping
[Thu Aug 20 18:21:13.714332 2020] [so:warn] [pid 9] AH01574: module suexec_module is already loaded, skipping
[Thu Aug 20 18:21:13.714439 2020] [so:warn] [pid 9] AH01574: module unixd_module is already loaded, skipping
[Thu Aug 20 18:21:13.714581 2020] [so:warn] [pid 9] AH01574: module version_module is already loaded, skipping
[Thu Aug 20 18:21:13.714594 2020] [so:warn] [pid 9] AH01574: module vhost_alias_module is already loaded, skipping
[Thu Aug 20 18:21:13.714637 2020] [so:warn] [pid 9] AH01574: module dav_module is already loaded, skipping
[Thu Aug 20 18:21:13.714649 2020] [so:warn] [pid 9] AH01574: module dav_fs_module is already loaded, skipping
[Thu Aug 20 18:21:13.715486 2020] [so:warn] [pid 9] AH01574: module mpm_prefork_module is already loaded, skipping
[Thu Aug 20 18:21:13.717735 2020] [so:warn] [pid 9] AH01574: module ssl_module is already loaded, skipping
[Thu Aug 20 18:21:13.717796 2020] [so:warn] [pid 9] AH01574: module systemd_module is already loaded, skipping
[Thu Aug 20 18:21:13.717864 2020] [so:warn] [pid 9] AH01574: module cgi_module is already loaded, skipping
[Thu Aug 20 18:21:13.733467 2020] [so:warn] [pid 9] AH01574: module wsgi_module is already loaded, skipping
[Thu Aug 20 18:21:13.737743 2020] [alias:warn] [pid 9] AH00671: The Alias directive in /etc/httpd/conf.d/autoindex.conf at line 21 will probably never match because it overlaps an earlier Alias.
[Thu Aug 20 18:21:13.738307 2020] [auth_digest:notice] [pid 9] AH01757: generating secret for digest authentication ...
[Thu Aug 20 18:21:13.873078 2020] [lbmethod_heartbeat:notice] [pid 9] AH02282: No slotmem from mod_heartmonitor
[Thu Aug 20 18:21:13.904187 2020] [mpm_prefork:notice] [pid 9] AH00163: Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips mod_wsgi/3.4 Python/2.7.5 mod_auth_gssapi/1.5.1 configured -- resuming normal operations
[Thu Aug 20 18:21:13.904250 2020] [core:notice] [pid 9] AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND -D FOREGROUND'
[Thu Aug 20 19:49:40.597963 2020] [mpm_prefork:error] [pid 9] AH00161: server reached MaxRequestWorkers setting, consider raising the MaxRequestWorkers setting
